Generic Name,Drug Class,Common Uses
Diltiazem,Calcium channel blocker,Hypertension/arrhythmia
Divalproex (valproate),Anticonvulsant,Seizures/bipolar disorder
Doxycycline,Tetracycline antibiotic,Bacterial infections
Duloxetine,SNRI,Depression/neuropathic pain

Edoxaban,Factor Xa inhibitor,Anticoagulation
Efavirenz,NNRTI,HIV
Elbasvir,NS5A inhibitor,Hepatitis C
Elvitegravir,Integrase inhibitor,HIV
Emtricitabine,NRTI,HIV
Enalapril,ACE inhibitor,Hypertension/heart failure
Enoxaparin,Low molecular weight heparin,Anticoagulation
Epinephrine,Adrenergic agonist,Anaphylaxis/cardiac arrest
Eplerenone,Aldosterone antagonist,Heart failure/hypertension
Erlotinib,EGFR inhibitor,Cancer (NSCLC)
Escitalopram,SSRI,Depression/anxiety
Esomeprazole,Proton pump inhibitor,GERD/ulcer
Estrogen (conjugated),Hormone replacement,Menopause
Etanercept,TNF inhibitor,Autoimmune diseases

Famotidine,H2 blocker,GERD/ulcer
Fentanyl,Opioid analgesic,Severe pain
Fenofibrate,Fibrate,Hypertriglyceridemia
Ferrous sulfate,Iron supplement,Iron deficiency anemia
Fexofenadine,Antihistamine,Allergies
Finasteride,5-alpha reductase inhibitor,BPH/hair loss
Fluconazole,Azole antifungal,Fungal infections
Fluoxetine,SSRI,Depression/OCD
Fluticasone,Inhaled corticosteroid,Asthma/allergic rhinitis
Fosinopril,ACE inhibitor,Hypertension
Furosemide,Loop diuretic,Edema/heart failure

Gabapentin,Anticonvulsant/neuropathic analgesic,Neuropathic pain/seizures
Gemfibrozil,Fibrate,Hypertriglyceridemia
Gentamicin,Aminoglycoside antibiotic,Serious gram-negative infections
Glibenclamide (glyburide),Sulfonylurea,Type 2 diabetes
Glipizide,Sulfonylurea,Type 2 diabetes
Glycopyrrolate,Anticholinergic,Excessive secretions/peptic ulcer adjunct
Goserelin,GnRH agonist,Prostate/breast cancer
Griseofulvin,Antifungal,Dermatophyte infections

Haloperidol,Typical antipsychotic,Schizophrenia/psychosis
Heparin,Anticoagulant,Anticoagulation
Hydralazine,Vasodilator,Hypertension
Hydroxychloroquine,Antimalarial/DMARD,Rheumatoid arthritis/lupus
Hydrocortisone,Corticosteroid,Inflammation/adrenal insufficiency
Hydromorphone,Opioid analgesic,Severe pain
Hydroxyzine,Antihistamine,Allergies/anxiety

Ibuprofen,NSAID,Pain/inflammation/fever
Imatinib,Tyrosine kinase inhibitor,CML/GIST
Imipenem,Carbapenem antibiotic,Bacterial infections
Infliximab,Monoclonal antibody,TNF inhibitor (autoimmune disease)
Insulin (various),Hormone,Diabetes mellitus
Ipratropium,Anticholinergic,Bronchodilation (COPD/asthma)
Isosorbide mononitrate,Nitrate,Angina
Isoniazid,Antitubercular,Tuberculosis
Itraconazole,Azole antifungal,Fungal infections

Labetalol,Beta blocker,Hypertension
Lamotrigine,Anticonvulsant,Seizures/bipolar disorder
Lansoprazole,Proton pump inhibitor,GERD/ulcer
Latanoprost,Prostaglandin analog,Glaucoma
Levofloxacin,Fluoroquinolone antibiotic,Bacterial infections
Levetiracetam,Anticonvulsant,Seizures
Levonorgestrel,Progestin,Contraception/emergency contraception
Lidocaine,Local anesthetic,Local/regional anesthesia/arrhythmia
Lisinopril,ACE inhibitor,Hypertension/heart failure
Lithium,Mood stabilizer,Bipolar disorder
Loratadine,Antihistamine,Allergies
Losartan,ARB,Hypertension
Lovastatin,Statin,Hyperlipidemia

Macrogol (PEG),Osmotic laxative,Constipation/prep
Magnesium sulfate,Epsom salt,Seizures in eclampsia/electrolyte
Measles-Mumps-Rubella (MMR) Vaccine,Vaccine,Immunization
Meclizine,Antiemetic/antihistamine,Vertigo/nausea
Meloxicam,NSAID,Pain/inflammation
Memantine,NMDA antagonist,Alzheimer's disease
Meperidine (pethidine),Opioid analgesic,Pain (less used)
Metformin,Biguanide,Type 2 diabetes
Methadone,Opioid agonist,Opioid dependence/pain
Methimazole,Antithyroid,Hyperthyroidism
Methotrexate,Antimetabolite,Autoimmune disease/cancer
Methylprednisolone,Corticosteroid,Inflammation/immune suppression
Metoclopramide,Prokinetic/Nausea agent,Nausea/vomiting/GI motility
Metoprolol,Beta blocker,Hypertension/angina
Metronidazole,Nitroimidazole antibiotic,Anaerobic infections
Midazolam,Benzodiazepine,Sedation/anesthesia
Minocycline,Tetracycline antibiotic,Bacterial infections
Misoprostol,Prostaglandin,Ulcer prevention/postpartum hemorrhage
Mirtazapine,Antidepressant,Depression/insomnia
Montelukast,Leukotriene receptor antagonist,Asthma/allergic rhinitis
Morphine,Opioid analgesic,Severe pain
Mupirocin,Topical antibiotic,Impetigo/nasal decolonization
Mycophenolate mofetil,Immunosuppressant,Transplant/autoimmune

Nabumetone,NSAID,Pain/inflammation
Naloxone,Opioid antagonist,Opioid overdose reversal
Naltrexone,Opioid antagonist,Opioid/alcohol dependence
Naproxen,NSAID,Pain/inflammation
Naratriptan,Triptan,Migraine
Neostigmine,Cholinesterase inhibitor,Myasthenia gravis/post-op ileus
Nevirapine,NNRTI,HIV
Nitrofurantoin,Antibiotic,Urinary tract infections
Nitroglycerin,Nitrate,Angina
Nivolumab,PD-1 inhibitor,Immunotherapy (cancer)
Norfloxacin,Fluoroquinolone antibiotic,UTI (some regions)

Olanzapine,Atypical antipsychotic,Schizophrenia/bipolar
Omeprazole,Proton pump inhibitor,GERD/ulcer
Ondansetron,5-HT3 antagonist,Nausea/vomiting
Opiates/opioids (eg oxycodone),Opioid analgesic,Pain
Oseltamivir,Neuraminidase inhibitor,Influenza
Oxybutynin,Antimuscarinic,Overactive bladder
Oxycodone,Opioid analgesic,Pain
Oxytocin,Hormone,Labor induction/postpartum hemorrhage

Paclitaxel,Taxane chemotherapy,Cancer
Palbociclib,CDK4/6 inhibitor,Breast cancer
Paracetamol (acetaminophen),Analgesic,Analgesia/antipyresis
Paroxetine,SSRI,Depression/anxiety
Penicillin G,Penicillin antibiotic,Bacterial infections
Perindopril,ACE inhibitor,Hypertension
Phenazopyridine,Urinary analgesic,UTI symptom relief
Phenobarbital,Barbiturate,Seizures/sedation
Phenytoin,Anticonvulsant,Seizures
Pioglitazone,Thiazolidinedione,Type 2 diabetes
Piperacillin/tazobactam,Broad-spectrum penicillin antibiotic,Serious infections
Prednisone,Corticosteroid,Inflammation/immune suppression
Pregabalin,Anticonvulsant/neuropathic pain,Neuropathic pain/anxiety
Prochlorperazine,Antiemetic/antipsychotic,Nausea/psychosis
Propranolol,Beta blocker,Hypertension/migraine
Proton pump inhibitors (class),Acid suppression,GERD/ulcer

Quetiapine,Atypical antipsychotic,Schizophrenia/bipolar
Quinine,Antimalarial,Malaria
Quinidine,Antiarrhythmic,Arrhythmias

Ramelteon,Melatonin receptor agonist,Insomnia
Ranitidine (withdrawn in many markets),H2 blocker,GERD/ulcer
Rifaximin,Nonabsorbable antibiotic,Traveler's diarrhea/hepatic encephalopathy
Rifampicin,Antitubercular antibiotic,Tuberculosis
Rivaroxaban,Factor Xa inhibitor,Anticoagulation
Risperidone,Atypical antipsychotic,Schizophrenia/bipolar
Ritonavir,Protease inhibitor,HIV (boosting)
Ropinirole,Dopamine agonist,Parkinson's disease/restless legs
Rosuvastatin,Statin,Hyperlipidemia

Salbutamol (albuterol),Short-acting beta-2 agonist,Asthma/COPD relief
Salmeterol,Long-acting beta-2 agonist,Asthma/COPD maintenance
Sertraline,SSRI,Depression/anxiety
Sevelamer,Phosphate binder,Hyperphosphatemia in CKD
Simvastatin,Statin,Hyperlipidemia
Siponimod,S1P modulator,Multiple sclerosis
Sitagliptin,DPP-4 inhibitor,Type 2 diabetes
Spironolactone,Aldosterone antagonist,Heart failure/ascites
Sulfamethoxazole/trimethoprim,Combination antibiotic,Various infections
Sumatriptan,Triptan,Migraine
Sucralfate,GI protectant,Ulcer treatment
Sulfasalazine,5-ASA/DMARD,Ulcerative colitis/rheumatoid arthritis

Tacrolimus,Calcineurin inhibitor,Transplant rejection prevention
Tamoxifen,SERM,Breast cancer
Tadalafil,PDE5 inhibitor,Erectile dysfunction/benign prostatic hyperplasia
Tamsulosin,Alpha-1 blocker,BPH
Temazepam,Benzodiazepine derivative,Insomnia
Terbinafine,Allylamine antifungal,Dermatophyte infections
Terazosin,Alpha-1 blocker,Hypertension/BPH
Teriparatide,PTH analog,Osteoporosis
Thiamine (vitamin B1),Vitamin,Nutritional deficiency
Thiopental,Barbiturate,Anesthesia induction (less used)
Thyroxine (levothyroxine),Thyroid hormone,Hypothyroidism
Ticagrelor,Antiplatelet,Acute coronary syndrome
Tideglusib,GSK-3 inhibitor,Experimental (research)
Tiotropium,Long-acting anticholinergic,COPD
Tizanidine,Muscle relaxant,Spasticity
Tobramycin,Aminoglycoside antibiotic,Serious gram-negative infections
Topiramate,Anticonvulsant,Seizures/migraine prevention
Torsemide,Loop diuretic,Edema/heart failure
Tramadol,Opioid analgesic,Pain
Trastuzumab,Monoclonal antibody,HER2+ breast cancer
Trazodone,SARI,Depression/insomnia
Triamcinolone,Corticosteroid,Inflammation/dermatologic
Trimethoprim,Antibiotic,Urinary infections

Ulipristal,Selective progesterone receptor modulator,Emergency contraception/uterine fibroids
Umeclidinium,Long-acting anticholinergic,COPD
Urea topical,Kerato-olytic agent,Hyperkeratotic skin conditions
Ursodeoxycholic acid,Bile acid therapy,Primary biliary cholangitis/cholestasis

Valacyclovir,Antiviral,Herpes infections
Valproate (valproic acid),Anticonvulsant,Seizures/bipolar
Vancomycin,Glycopeptide antibiotic,MRSA/serious gram-positives
Varenicline,Partial nicotine agonist,Smoking cessation
Vasopressin,Peptide hormone,Diabetes insipidus/vasoconstriction in bleeding
Vedolizumab,Integrin antagonist,Ulcerative colitis/Crohn's disease
Venlafaxine,SNRI,Depression/anxiety
Verapamil,Calcium channel blocker,Hypertension/arrhythmias
Vigabatrin,Anticonvulsant,Infantile spasms/epilepsy
Vilazodone,Serotonin modulator and stimulator,Depression

Warfarin,Vitamin K antagonist,Anticoagulation
Warp (not a drug),N/A,N/A

Xylocaine (lidocaine),Local anesthetic,Local/regional anesthesia/arrhythmia
Xalatan (latanoprost),Prostaglandin analog,Glaucoma
Xopenex (levalbuterol),Short-acting beta-2 agonist,Asthma (bronchodilator)

Yohimbine,Alpha-2 antagonist,Erectile dysfunction/research
Yttrium-90 (radioisotope),Radiotherapy,Certain cancers

Zanamivir,Neuraminidase inhibitor,Influenza
Zidovudine (AZT),NRTI,HIV
Zolpidem,Non-benzodiazepine hypnotic,Insomnia
Zonisamide,Anticonvulsant,Seizures
Zoledronic acid,Bisphosphonate,Osteoporosis/hypercalcemia of malignancy
